серия T;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;Риттал;800x600x300;183,00 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;15,30 €;312,30 €;20 299,50 ?;562,14 €;36 539,10 ?;;;
;Риттал;800x800x300;138,23 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;19,04 €;271,27 €;17 632,55 ?;488,29 €;31 738,59 ?;;;
;Риттал;800x1000x300;166,75 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;22,78 €;303,53 €;19 729,45 ?;546,35 €;35 513,01 ?;;;
;Риттал;800x1200x300;212,25 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;26,52 €;352,77 €;22 930,05 ?;634,99 €;41 274,09 ?;;;
;Риттал;1000x1000x300;243,73 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;27,20 €;384,93 €;25 020,45 ?;692,87 €;45 036,81 ?;;;
;Риттал;1000x1200x300;298,12 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;31,62 €;443,74 €;28 843,17 ?;798,73 €;51 917,70 ?;;;
;Риттал;1000x1400x300;358,96 €;;11,00 €;11,00 €;69,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;36,04 €;509,00 €;33 085,00 ?;916,20 €;59 553,00 ?;;;
;Риттал;380x600x350;108,96 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;189,67 €;12 328,55 ?;341,41 €;22 191,39 ?;;;
;Риттал;600x380x350;113,66 €;;11,00 €;11,00 €;26,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;194,37 €;12 634,05 ?;349,87 €;22 741,29 ?;;;
;Риттал;600x600x350;127,47 €;;11,00 €;11,00 €;28,00 €;9,00 €;5,00 €;2,00 €;1,50 €;1,50 €;3,00 €;1,00 €;13,26 €;213,73 €;13 892,45 ?;384,71 €;25 006,41 ?;;;
