серия TL;ПРОИЗВОДИТЕЛЬ;РАЗМЕРЫ Ш*В*Г;ЦЕНА В ЕВРО НДС;Дополнительно к шкафу панель нижняя или боковые стенки;ТЕРМОСТАТ DBK охлождение;ТЕРМОСТАТ DBK ОБОГРЕВ;ОБОГРЕВ по мощности см.артикул послед 2-3 цифры;РЕШЕТКА ФИЛЬТР DBK;Вентилятор N/N;Железная решотка защита вентилятора;Розетка на Din реку;Автомат на Din реку;Клейммы;DIN рейка +метизы;Утеплитель;ЦЕНА В ЕВРО ЗАКУПКА;ЦЕНА В РУБ. ЗАКУПКА;ЦЕНА В ЕВРО РОЗНИЦА;ЦЕНА В РУБ. Розница;;;КУРС ЕВРО
;Риттал;600x380x350;113,66 €;;;11,00 €;26,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;9,71 €;167,37 €;10 879,05 ?;301,27 €;19 582,29 ?;;;
;Риттал;600x600x350;127,47 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;13,26 €;186,73 €;12 137,45 ?;336,11 €;21 847,41 ?;;;
;Риттал;600x760x350;150,80 €;;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;15,84 €;253,64 €;16 486,86 ?;456,56 €;29 676,35 ?;;;
;;400x600x400;;;;11,00 €;;;;;1,50 €;1,50 €;3,00 €;1,00 €;10,88 €;28,88 €;1 877,20 ?;51,98 €;3 378,96 ?;;;
;ВЭ;600x600x400;107,17 €;;;11,00 €;28,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;14,28 €;167,45 €;10 884,25 ?;301,41 €;19 591,65 ?;;;
;Риттал;600x800x400+панель основания;184,15 €;51,42 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;17,68 €;340,25 €;22 116,25 ?;612,45 €;39 809,25 ?;;;
;Риттал;600x1000x400+панель основания;223,05 €;51,42 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;21,08 €;382,55 €;24 865,75 ?;688,59 €;44 758,35 ?;;;
;Риттал;600x1200x400;250,00 €;51,42 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;24,48 €;412,90 €;26 838,50 ?;743,22 €;48 309,30 ?;;;
;Риттал;600x1800x400+боковые стенки;385,60 €;84,96 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;34,68 €;592,24 €;38 495,60 ?;1 066,03 €;69 292,08 ?;;;
;Риттал;800x800x400+глухая панель;264,60 €;55,73 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;21,76 €;429,09 €;27 890,85 ?;772,36 €;50 203,53 ?;;;
;Риттал;800x1000x400+глухая панель;264,60 €;55,73 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;25,84 €;433,17 €;28 156,05 ?;779,71 €;50 680,89 ?;;;
;Риттал;800x1200x400+глухая панель;263,25 €;55,73 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;29,92 €;435,90 €;28 333,50 ?;784,62 €;51 000,30 ?;;;
;Риттал;800x1800x400 +боковые стенки;437,00 €;84,95 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;651,11 €;42 322,15 ?;1 172,00 €;76 179,87 ?;;;
;Риттал;1000x1200x400+глухая панель;369,85 €;60,04 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;35,36 €;552,25 €;35 896,25 ?;994,05 €;64 613,25 ?;;;
;Риттал;1000x1400x400+глухая панель;469,00 €;60,04 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;40,12 €;656,16 €;42 650,40 ?;1 181,09 €;76 770,72 ?;;;
;Риттал;1000x1800x400 +боковые стенки;573,66 €;84,95 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;49,64 €;866,25 €;56 306,25 ?;1 559,25 €;101 351,25 ?;;;
;Риттал;1200x1200x400+глухая панель;413,04 €;64,24 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;40,80 €;605,08 €;39 330,20 ?;1 089,14 €;70 794,36 ?;;;
;Риттал;1200x1800x400+боковые стенки;597,37 €;84,96 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;57,12 €;897,45 €;58 334,25 ?;1 615,41 €;105 001,65 ?;;;
;Риттал;1600x1800x400;805,18 €;;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;72,08 €;1 035,26 €;67 291,90 ?;1 863,47 €;121 125,42 ?;;;
;Риттал;600x1200x500+боковые стенки;377,03 €;83,69 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;27,54 €;575,26 €;37 391,84 ?;1 035,47 €;67 305,30 ?;;;
;Риттал;600x1400x500+боковые стенки;386,93 €;79,90 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;31,28 €;585,11 €;38 032,15 ?;1 053,20 €;68 457,87 ?;;;
;Риттал;600x1600x500+боковые стенки;403,30 €;88,40 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;35,02 €;613,72 €;39 891,80 ?;1 104,70 €;71 805,24 ?;;;
;Риттал;600x2000x500+боковые стенки;423,49 €;100,65 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;42,50 €;653,64 €;42 486,60 ?;1 176,55 €;76 475,88 ?;;;
;Риттал;800x1200x500+боковые стенки;410,11 €;83,68 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;33,32 €;614,11 €;39 917,15 ?;1 105,40 €;71 850,87 ?;;;
;Риттал;800x1400x500+боковые стенки;418,84 €;79,90 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;37,74 €;623,48 €;40 526,20 ?;1 122,26 €;72 947,16 ?;;;
;Риттал;800x1600x500+боковые стенки;435,19 €;88,40 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;42,16 €;652,75 €;42 428,75 ?;1 174,95 €;76 371,75 ?;;;
;Риттал;800x2000x500+боковые стенки;452,43 €;100,65 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;762,08 €;49 535,20 ?;1 371,74 €;89 163,36 ?;;;
;Риттал;1200x1200x500+боковые стенки;576,62 €;83,68 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;44,88 €;792,18 €;51 491,70 ?;1 425,92 €;92 685,06 ?;;;
;Риттал;1200x1400x500+боковые стенки;589,67 €;79,90 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;50,66;878,23 €;57 084,95 ?;1 580,81 €;102 752,91 ?;;;
;Риттал;1200x1600x500+боковые стенки;619,62 €;88,40 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;56,44 €;922,46 €;59 959,90 ?;1 660,43 €;107 927,82 ?;;;
;Риттал;1800x2000x500;1 009,75 €;;;11,00 €;180,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;93,50 €;1 301,25 €;84 581,25 ?;2 342,25 €;152 246,25 ?;;;
;Риттал;600x1800x600+боковые стенки;418,84 €;97,24 €;;11,00 €;69,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;42,84 €;645,92 €;41 984,80 ?;1 162,66 €;75 572,64 ?;;;
;Риттал;600x2000x600+боковые стенки;433,67 €;110,06 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;46,92 €;748,65 €;48 662,25 ?;1 347,57 €;87 592,05 ?;;;
;Риттал;600x2200x600+боковые стенки;494,92 €;117,98 €;;11,00 €;140,00 €;;;;1,50 €;1,50 €;3,00 €;1,00 €;51,00 €;821,90 €;53 423,50 ?;1 479,42 €;96 162,30 ?;;;
